,name,description
96,KidKomfort Pack Plus,"This comfortable, lightweight and well-ventilated child-carrier backpack will transport your little one safely. It's exceptionally easy to get a perfect fit and meets all international safety standards.

Specs
- Capacity: 48.5 lb.
- Weight: 7.67 lb.
- Dimensions: 29""H x 15""W x 17""D.

Construction
- Made from 210D nylon shadow box, 400HD nylon packcloth and 420HD nylon packcloth.
- Aluminum frame and hinges.

Additional Features
- Osprey's unique Anti-Gravity suspension ensures a fast and supercomfortable fit.
- Airspeed back panel allows air flow to help keep you cool.
- Two large grab handles.
- Removable and washable drool pad.
- Wide base with locking footbar makes it stable when placed on the ground.
- Built-in sunshade.
- Adjustable child-seat height with safety leg loops and adjustable/removable stirrups.
- Hydration reservoir sleeve in back panel, reservoir sold separately.
- Imported."
97,Men's K2 Precision Boa Ice Skates,"These K2 recreational ice skates feature a Boa closure for superfast on/off and a custom fit. SoftBoot technology provides the stability of a stiff boot in a lightweight, comfortable skate. The Boa-closure system offers stability and the Stability Plus Cuff provides excellent support with an integrated buckle for an adjustable fit. Insulated and water resistant with Thinsulate™ Insulation for warmth, these skates are durable, comfortable and will keep you skating comfortably for hours. The injection-locked stainless steel blade resists corrosion and is easy to maintain. Half sizes should order up, and these skates are imported."
98,Glideaway Kayak Paddle,"This adjustable kayak paddle is designed for both beginner and recreational kayakers alike. It is lightweight and features technical elements. 

Specs: 
Blade size: 18"" L x 6¾"" W.
Weight: 2 lb. 5 oz.

Construction: 
Lightweight aluminum shaft.
Polypropylene blades. 
Blades are shaped to eliminate flutter.
Built-in, molded drip rings. 

Additional Features: 
Adjustable ferrules can be unfeathered or feathered to 60° for both right- and left-hand control. 
Made in the USA. 

If you have any questions, please contact the manufacturer."
99,Kids' Adventurer Snowshoe with Boa Bindings Package,"Revolutionary snowshoes built for kids. 

Size & Fit: Fit kids' winter boots size 4 to 7. 

Specs: 
Length: 19""L. 
Capacity: 50 to 110 lb. 
Weight: 4 lb. 4 oz. per pair. 

Construction: 
Frame is made from exceptionally lightweight and durable 6,000-series aluminum. 
The Boa-closure is made from 49 individual strands of aircraft grade stainless steel wire. 
Deck is built from rugged polyethylene. 
New deck mounts stiffen the deck to make a more responsive snowshoe. 

Additional Features: 
Easy-to-use Boa-closure allows superfast binding adjustment even for kids wearing mittens 
Adapts to fit most types and sizes of winter boot. 
Incredibly easy to switch between users of different size feet. 
Package includes three-piece 7,000-series aluminum snowshoe poles and heavy-duty snowshoe bag. 
Imported. 

FIND WINTER ADVENTURE
Walk your favorite trails all winter long. We have the perfect snowshoes for every type of hiker"
100,Men's OluKai Nohea Breeze Slip-Ons,"These men's mesh slip-on shoes are designed with a versatile drop-in heel and ultrabreathable mesh upper, giving them a sleek, distinguished look with handsewn seam stitching and embroidered details. Elastic gore side panels provide a comfortable fit, while moisture-wicking Dri-Lex microfiber lining keeps feet cool and dry. An all-weather nonmarking rubber outsole with heavy-gauge sidewall stitch provides support and traction. Imported. Questions? Please contact customer service."
101,Nova Prime Pump,"The NRS Super 2 pump is designed with a patented double-chamber to make inflating SUPs up to 25 psi a breeze. This pump is built from durable molded plastic with an aluminum shaft for maximum durability. It features a large 1.4L single-action stroke and 3.8L double-action stroke for quick inflation, and comes with a 49"" hose. The integrated pressure gauge ensures precise inflation and the AIR MAX and POWER BOOSTER buttons allow for single or double-barrel action. Ideal for high-pressure inflatables, this pump is also great for deflating them as well. Imported."
102,Moultrie A-700 Pro Game Camera,"Take your scouting game to a new level with this compact, lightweight and affordable game camera. It shoots clear, crisp images and HD videos with sound so you can see exactly what's out there. Specs: Dimensions: 4.8""H x 3.5""W x 3""D. Battery life: 17,000 images. Additional Features: Moultrie’s ILLUMNI-NIGHT sensor allows bright and clear nighttime images. Moultrie Pine camo color for concealment. Compact size is easy to carry and conceal. 32 LED invisible flash technology won't spook game. 14 megapixel resolution images. 720P video capability. 50' flash and detection range. Powered by 8 AA batteries; batteries sold separately. 0.7 second trigger speed. Compatible with Moultrie Mobile’s MV2 and MA2 Cellular Field Modems; sold separately. Imported."
103,"Double-Layer Base Layer, Crewneck","When it's cold outside, the first layer is the most important - and the double-layered design of these men's thermal shirts provides the ideal solution. Fabric & Care: Durable knit outer layer combines 50% cotton/ 40% merino wool/ 10% nylon, with an inside layer of soft, breathable, itch-free 100% cotton. Machine wash and dry. Construction: Super-soft, warm two-layer construction won’t bind. Rib-knit cuffs with Lycra elastane hold their shape. Nonchafing flatlock seams for superior comfort. Made in Canada."
104,NatureFlex Packaway Jacket,"This women's lightweight winter jacket is perfect for year-round use. It is designed to keep you toasty warm and can be worn alone or with layers. It also stuffs into its own hand pocket for easy packing. Comfort ratings range from light activity (35°) to moderate activity (-15°). The size and fit are improved for a trimmer body and upper arms, with a center back length of 25¾ in size M. It falls at the hip and is made of ultralight 100% ripstop nylon, with lightweight and compressible 60-gram PrimaLoft® One polyester insulation. The wind- and water-resistant shell and drawcord hem help keep body heat in. Elasticized cuffs provide a snug fit. Machine wash and dry. Imported."
105,Women's Katahdin Leather Mesh Waterproof Hiking Boots,"The classic alpine hiker is back, with retro style and all-day comfort you'll want to wear beyond the trail. 

Specs:  Approx. weight: 1.8 lb. 

Construction:
Classic hiker-inspired suede leather and mesh upper. 
TEK2.5® waterproof system and wicking fabric lining keep feet dry and comfortable.
Lugged rubber outsole for traction. 
Bi-color stacked EVA midsole inspired by European hiking boots.
Classic padded collar and EVA sock liner for comfort. 
D-Ring lace system with speed hooks for easy on/off and a secure fit. 

Additional Features: 
Features our retro Mt. Katahdin logo on tongue.
A great choice for short hikes and everyday wear. 
Imported."
106,Cashmere Lace Pants,"These women's silk pants are light and provide a subtle warmth without being bulky - the soft pointelle-knit fabric adds a feminine touch. 

Fabric & Care
100% pointelle-knit silk.
Machine wash, dry flat.

Additional Features
Elasticized waist.
Imported."
107,Wilderness Warrior Pants,"Whether you’re hunting for varmints, predators or winter waterfowl, these snow camo pants are the perfect outer layer to seal in warmth—and provide exceptional cover. 

Size & Fit: Oversized to fit over your warm clothing. 

Fabric & Care: Made from silent, soft Hush Hide polyester fabric. Machine wash, line dry.

Additional Features: Camo pattern is ideal for predator, varmint hunting and winter water-fowling. Pants slide on easily over boots. Elastic waist with drawcord and gathered cuffs. Access slots allow you to get into interior pockets. Imported."
108,"MaxGrip XtraSport Socks, Twin Pack","Our women’s moisture-wicking socks are designed with quick-drying, breathable fabric and thoughtful cushioning to keep your feet cool and dry during any activity. Fabric & Care includes 43% nylon, 40% CoolMax polyester, 15% NanoGlide nylon, and 2% spandex. Machine wash and dry for convenience. Additional Features include CoolMax yarn for advanced moisture control, NanoGlide technology to reduce friction and minimize blisters, mesh fabric around the foot for 360 degrees of breathability, and cushioned heels and toes. Fabric imported from USA."
109," Tee

Comfy Cotton-Modal Scoopneck Tee","Crave-worthy softness and perfect drape in a collarbone-skimming scoopneck silhouette. It's our favorite premium T-shirt with eye-opening style updates. 

Size & Fit
Slightly Fitted: Softly shapes the body.
Falls at high hip.

Fabric & Care
60% cotton, 40% modal.
Machine wash and dry.

Additional Features
Open scoop neckline.
Cuffed short sleeves.
Softly rounded hem is slightly longer in the back.
Ultrasoft cotton/modal fabric fits perfectly, drapes beautifully and resists pilling.
Imported."
110,Women's ExOfficio All-Day Comfort Bikini Brief,"Easy-care women's ExOfficio underwear is built for adventure travel, but it's so comfortable it might just become your everyday underwear. Fabric & Care: 94% nylon and 6% spandex. Machine wash cold, tumble dry low or line dry in the shade. Additional Features: Breathable and moisture-wicking. Antimicrobial technology offers advanced protection against odors. Pack down small so they won't take up a lot of space in your luggage. Nylon/spandex blend offers stretch and comfort. Just give them a quick wash in the sink and hang to dry; they'll be ready to wear in a few hours. Imported."
111,Customized Canine Collar,"Make sure your pet can be easily identified with our personalized dog leash. 

Specs: 
Dimensions: 6' x 5/8"". 
Dimensions: 6' x 1"". 

Construction:
Durable nylon webbing.
Metal swivel clip.

Additional Features:
Personalize up to 23 characters, including spaces.
Note: for words like “McCosh” with a capital letter in other than first position, please contact us. 
Made in USA.

Questions? Please contact us."
112,Boys'  Tech Quarter-Zip Pullover,"This pullover is perfect for any active lifestyle. It is moisture-wicking and quick-drying, while also being incredibly comfortable and stretchy. The fabric stretches with him, but won't stretch out of shape. It also features a flat-faced fleece fabric that is brushed on the inside so it feels great against his skin. Additionally, it has reflective hits for enhanced visibility in low-light conditions. 

Size & Fit: Relaxed Fit. 

Fabric & Care: 88% polyester, 12% elastane. Machine wash and dry. 

Imported."
113,Rugged Ridge All-Terrain Hiking Shoes,"This is a true hiking shoe that can perform on multiday hikes over rough terrain while carrying a pack. Specs include an approximate weight of 2 lb. 8 oz. per pair. We love them because they are a great value for the true hiker and comfortable enough for wherever the day takes you. It is loaded with features you need for a smooth ride on rough trails such as support, traction, comfort and durability. The upper is waterproof nubuck leather with a polyester mesh collar and is lined with synthetic mesh fabric that is treated with NXT antimicrobial odor control. Dual-density EVA midsole and footbed with forefoot for maximum comfort with a TEK2.5 waterproof inner lining. It also includes a Vibram XS-Trek rubber outsole for multisurface traction and molded rubber toe bumper and extended external heel counter for added protection. Additionally, there is a lace-up style for a customizable fit, webbing pull-on loop at back collar and reflective accents on upper for added visibility. Importantly, all these features are included in the shoe."
114,Men's Wicked Warm Slippers,"We searched all around the globe for the finest genuine shearling to make our popular Wicked Good Slippers even better. Just slip into these incredibly soft sheepskin slippers and it's easy to see how they got their name. 

Size & Fit: Fits best with lightweight sock or barefoot. Half sizes order up. 

Why We Love Them: With over 4 million pairs sold over the last 5 years, it’s clear customers think our Wicked Good Slippers deserve the title of Best Slippers Ever Made. They make such a great gift that we sell a pair every 7 seconds during our peak in December. Why are they so popular? There are a few reasons but at the top of the list is the most cozy shearling you can find. Throw in superior construction using premium sheepskin and you’ll know why in Maine, “Wicked Good” is as good as it gets. 

Construction: Sheepskin suede upper gets softer with age. Genuine shearling lining. Indoor leather sole. Imported."
115,Men's TEKWool Thermal Shield Plaid Jacket,"This wool jacket is designed to provide rugged protection and classic style while resisting the elements. The fabric is a rugged, weather-resistant blend of 55% acrylic, 25% polyester and 20% recycled wool with a 100% polyester lining and insulation of 65% olefin, 35% polyester. Best worn with a lightweight layer, this jacket falls below the hip. It includes two-way zipper, interior zippered security pocket and one zippered chest pocket, as well as four snap closure exterior pockets, snap adjustable cuffs and snap adjustable vents on back bottom hem. Machine wash and dry. Imported."
116,SmartWool Jewel Socks,"These men's SmartWool argyle socks are designed with durability, great looks, and comfort in mind. Crafted with a combination of 69% merino wool, 29% nylon, and 2% elastane, these socks will keep your feet warm and dry while providing extra cushioning in high impact areas. The classic argyle style is perfect for everyday wear, and they are proudly made in the USA. For best care, machine wash and dry."
117,Kids' Arctic Hunter Hunting Bibs,"Warm, waterproof midweight bibs are just what your hunting buddy needs for all-day comfort in the field. Why We Love Them: A cold, wet hunting buddy makes for a short outing. We want to keep the hunting tradition alive, that's why we've selected the best hunting bibs on the market for kids. Fabric & Care: Machine wash and dry. Additional Features: Midweight insulated bibs with waterproof, breathable laminate. Shell's soft exterior fabric is exceptionally quiet. Leg zips for easy on/off. Adjustable shoulder straps. Front slash pockets. Zippered chest and rear pockets. Imported."
118,Mountain View HV 2 Tent,"Our popular two-person Mountain Light Tent has been redesigned with much more usable interior space and vestibules that are 50% larger. The unique full-coverage fly can be configured to allow multiple venting options.

Specs
Capacity: Two people plus gear.
Tent area (excludes vestibules): 33.75 sq. ft.
Footprint (excludes vestibules): 90"" x 54"".
Center height: 43"".
Vestibule area (each): 11.39 sq. ft.
Weight: 5 lb.
Packed size: 24"" x 7"".

Why We Love It
This versatile tent features a unique fly that can be configured in multiple ways to maximize ventilation. Both ends can be rolled back, together or separately, to increase airflow or for stargazing at night. The integrated vestibule doors can also be rolled back. The tent body is mostly No-See-Um mesh so only air can get in, not bugs.

Construction
Tent floor is made from durable, lightweight 70-denier ripstop nylon taffeta.
Durable No-See-um mesh on doors and body keeps bugs out and allows excellent airflow.
"
119,Frosty Peaks Women's Fleece Jacket,"Our best-value fleece jacket is designed with inspiration from our archives and made from 100% recycled polyester for unbeatable comfort and wear-anywhere style. Size & Fit - Slightly Fitted. Best with lightweight layer. Falls at hip. Why We Love It - Our designers took inspiration from the  archives to create this ultrasoft fleece jacket. We love how the heritage styling is updated with a modern, slimming fit. Plus, it’s made from 100% recycled fleece – so you can stay warm and feel good about it. Fabric & Care - 100% recycled fleece is gentle on the planet. Machine wash and dry. Additional Features - Bart Boot laces at zippers and drawcord hem. Features our classic Katahdin logo. Elastic cuffs help seal out cold drafts. Two zippered hand pockets for securing valuables. Imported."
120," Wilderness LED Cap, Camouflage","Now our redesigned lighted cap makes getting out to your stand or tracking game in the dark even easier.

Size & Fit: One size fits all.

Specs:
- Output: 48 lumens
- Beam Distance: 42 ft.
- Batteries: 4 CR2032 coin-cell batteries (included).
- Runtime: 50 hr.

Fabric & Care: 100% cotton.

Additional Features:
- Made of soft washed chino twill.
- Camouflage hunting cap with under-the-brim, hands-free lighting.
- Easy-to-use, low-profile on/off button on the visor for convenient one-handed operation.
- We've tucked all four ultrabright LEDs under the precurved bill.
- Two LEDs aimed forward for distance lighting.
- Two LEDs angled at 55 degrees provide area lighting for close-up tasks.
- Imported."
121,Lumenscope MT18 3000 Lumen Rechargeable Torch,"The MT 18 is a powerful flashlight that produces a maximum output of 3,000 lumens and casts a beam over a quarter mile. It is perfect for situations where you need maximum visibility in the dark. The flashlight features IPX4 construction that can withstand splashing water from any direction. It is equipped with advanced battery technology that provides excellent burn times. The X-Lens Technology bundles three Xtreme LEDs into one very bright beam and the Single-hand Rapid Focus mechanism allows you to quickly change the light beam. It can be quickly charged via the included USB cable. The battery status and charge indicator lets you keep tabs on the power situation. Additionally, it also features a transportation lock and energy saving mode. The flashlight is 6.7"" in length, 3.4"" in head diameter, and 21.8 oz in weight with a run time of 5 hours on high, 9 hours on medium, and 96 hours on low. Imported."
122,SportPRO™ Field Trainer 350,"The SportDOG field trainer 350 has been field-tested in a variety of conditions, including heat, cold, rain, snow, dust and mud by seasoned sportsman and their dogs. The dependable receiver and transmitter are waterproof and submersible, with an ultracompact design that prevents it from becoming snagged in dense brush and tangled cover. Additional features include a range of up to 300 yd., eight levels of stimulation, tone modes, low battery indicator on both units, rechargeable batteries, and a charger included. Imported."
123,Stretch-Resistant Pull-On Capri Pants,"We've taken our rugged ripstop pants to the next level of comfort with an ultrasoft feel, a touch of stretch and a soft-knit elastic waistband. In a pull-on capri style that's great for warm weather.

Size & Fit
- Inseam: Misses' 23"", Petite 21""
- Favorite Fit: Sits lower on the waist
- Slightly fitted through hip and thigh
- Slim-leg

Fabric & Care
- In a durable ripstop blend of 98% cotton with 2% spandex for just the right amount of stretch
- Machine wash and dry

Additional Features
- Comfortable knit waistband with adjustable drawstring
- Faux-fly front
- Two back patch pockets with snaps
- Snaps at hem for adjustability
- Imported"
124,Women's Chunky Neck Blanket,"This stylish Buff neckwarmer is knit from soft yarns and lined with Primaloft fleece for extra warmth all winter long. 

Specs:
Dimensions: 11""L x 10""W.

Fabric & Care:
Cozy Primaloft® fleece lining provides extra warmth and next-to-skin comfort. Crafted from a soft blend of 80% wool and 20% polyamide. Machine wash, dry flat.

Additional Features:
Just-right drape falls effortlessly at neck for warmth and comfort. Imported.

Questions? Please contact customer service for any inquiries."
125,Ladies' Luminous Cloud Sandals,"Supercomfortable, travel-ready sandals with an exceptionally soft, podiatrist-certified LUVSEAT polyurethane footbed. Adjustable strap system allows a custom fit every time you hit the beach. Construction: Polyester jacquard webbing upper wraps around the foot and through the midsole for a custom fit. Injection-molded ladder lock buckle. Women's-specific LUVSEAT PU midsole. Antimicrobial treatment for odor control. Nonmarking ChacoGrip™ rubber outsole with 3 mm lugs for traction. Imported. Questions? Reach out to our customer service team for assistance."
126,"StreamMaster Ultra II Four-Piece Fly Rod, 4-6 wt.","Our popular 4-piece fly rod series has been improved to be lighter and more durable. With a crisp medium-fast action, a light feel and quality components, it's simply the best casting fly rod you'll find anywhere at this price.

Why We Love It

You won't outgrow this easy-to-cast four-piece fly rod even as you become an accomplished caster. It features a forgiving medium-fast action that will be appreciated by beginners and experts alike. It's a great way to get started in the fun sport of fly fishing. This year we've lowered the weight while creating a graphite blank with up to 50% greater hoop strength. It has the power you need to cast streamers and fight big trout.

Construction

Chrome-plated, double-foot snake guides and alconite stripping guides reduce line friction. Graphite reel seats resist corrosion.

Additional Features

Includes lightweight, rugged nylon-covered fiberglass rod tube with built-in section dividers. Alignment line and dot at each ferrule for easy assembly. Imported."
127,Weatherproof Patio Recliner,"This classic all-weather outdoor rocker is built in the USA with HDPE (High Density Polyethylene), and is partially made with recycled materials. The marine-grade, rust-resistant coated stainless-steel hardware ensures that this rocker will stay in place in any weather and will not rot, warp, crack, splinter, absorb moisture or ever need painting. It is easy to clean with soap and water and is available in three fade-resistant colors. Overall, this rocker measures 42½""H x 26¼""W x 33¾""D, with a seat area of 20"" x 19"" and a seat height of 17½""H. It weighs approximately 37 lbs. and pairs perfectly with any of our All-Weather products to create a timeless and functional outdoor entertainment area. For additional comfort, pair with our Casco Bay Cushions, sold separately. Assembly instructions are included."
128,Women's  Midweight Printed Base Layer Pants,"Our  Base Layers are the perfect pick for all-day comfort and performance properties. These printed midweight pants are our most versatile yet—layer them under your favorite hiking pants for fall treks or snow pants for your first snowshoe of the season. With a blend of 54% polyester, 40% recycled polyester and 6% Elastane to reduce impact on the environment, they wick away moisture and dry quickly while being treated with an anti-microbial finish to resist odor. The close to body fit provides just-right stretch so layers move with you and retain their shape. Enjoy the Favorite Fit—it sits lower on the waist for ultimate comfort. Machine wash and dry for easy care. Imported."
129,Customized Dog Tag,"This made-in-Maine dog ID tag is crafted from thick, durable, scratchproof stainless steel, making it ideal for long-term pet safety. It is constructed using stainless steel and cast using the lost wax casting process at a foundry in Maine. The tag has a medium size and is suitable for pets between 15-80 lbs. It is designed, handcrafted, finished and engraved in Maine and can be personalized on the back side with up to three lines, 12 characters per line. The tag comes with two hardware attachments: S-hook and split ring. It is chewproof and will not rust, wear through or discolor – even in salt water. The price includes personalization and the tag measures 1 1/8"" in diameter. Made in Maine."
130,Elevation Outdoor Light,"The Traverse Cube Outdoor Light is extremely versatile and great for all ages. It can be used as a night light or as a camp lantern to illuminate a tent or nighttime card game at the picnic table. With dimensions of 4.5""H x 3.25""W x 3.25""D, it weighs 7.7 oz. with batteries. Light output is up to 200 lumens on high power and 56 lumens on low. Run time is up to 14 days on low power. Kids will love the rotating multicolor mode, and adults will appreciate the high-power output for a game of cribbage at the picnic table. The globe is made from silicone and the base from impact-resistant ABS plastic. It is IPX7 construction and can withstand immersion in water up to 1 meter for up to 30 minutes, and it also floats if accidentally dropped in water. It includes a convenient handle for carrying or hanging, and a special mode that cycles through the colors of the rainbow. Traverse Cube Outdoor Light is imported. Three AA batteries are required and not included."
131,Girls' Summit Waterproof Insulated 3-in-1 Jacket,"This 3-in-1 girls’ jacket offers three great options for one great price, so she'll stay warm, dry and comfortable – whatever the weather. Light activity: to 20°  Moderate activity: to -5°. It is slightly fitted and made from 100%-nylon ripstop, 2.5-layer shell and 100%-nylon mini-ripstop liner. It is insulated with 100% polyester PrimaLoft Silver insulation. The waterproof, breathable shell can be worn alone in damp weather, and the water-resistant liner is insulated for warmth in cool weather. Wear both layers together for complete weather protection. Additional features include a media port on both the liner and shell, and fully taped seams on the liner for added comfort in wet weather. It is machine wash and dry, and imported."
132,Timberland Plaid Shirt,"Born from the tradition of our iconic  chamois shirt, now in a style that's specially detailed and softer than ever. This plaid chamois shirt is destined to be an essential part of your wardrobe.

Size & Fit
- Slightly Fitted: Softly shapes the body.
- Falls at low hip.

Why We Love It
We combined the premium quality and sought-after warmth of our original cotton chamois with features that make this women's chamois shirt all its own. It's the softest of all our chamois shirts, with eye-catching details like cuffs you can fold to reveal chambray trim.

Fabric & Care
- Brushed 7.5 oz. Portuguese cotton chamois – the same as our original. 
- Specially washed three times for a softness all its own.
- Machine wash and dry.

Additional Features
- Double-stitched seams ensure extra strength and durability.
- Chambray lining under collar and cuffs.
- Interior locker loop.
- Imported."
133,"Garmin Chrono Pro Fitness Watch, Sapphire","This premium multisport GPS smartwatch features wrist heart rate technology that eliminates the need for a chest strap. Built-in full-color mapping and navigation features help keep you headed in the right direction. 

Specs 
Dimensions: 1.9” diam. x 0.6”D. 
Display size: 1.2” diam. 
Weight: 3.1 oz. 
Display resolution: 240 x 240 pixels. 
Water rating: 10 ATM; suitable for rain, splashes, showering, swimming, diving into water and snorkeling. 
Memory: 16 GB. 
Battery life: Smartwatch up to 12 days, GPS up to 18 hours, GPS and music up to 8 hours. 

Why We Love It 
This GPS smartwatch offers a wide range of features and capabilities to keep you on track and informed. It has an incredibly accurate and fast location acquisition, tracks heart rate from your wrist, monitors sleep quality, transmits activity data to your phone, maps your activities, lets you choose from over 3 dozen sport modes, stores up to 500 songs, and supports wireless Bluetooth headphones. 

Construction 
This GPS smartwatch is"
134,Dynamic Denims Straight-Legs,"Our women’s straight-leg Double L Jeans are made of comfortable 100% cotton denim.

Size & Fit
Inseams: Misses 30"", Petite 28"", Medium Tall 32"".
Original Fit: Sits higher on the waist.
Slightly fitted through hip and thigh.
Straight-leg.

Fabric & Care
100% cotton denim is washed for softness and shrinkage control.
Machine wash and dry.

Additional Features
Traditional five-pocket styling.
Imported."
135,Women's Cozy Cabin Chukkas,"Our Wicked Good Slippers are made from the coziest material on earth and are designed to last. Not only are they incredibly soft and warm, but they also provide superior comfort and insulation. With over 4 million pairs sold over the last 5 years, it's clear customers think they are the best slippers ever made. The secret to their popularity is the cozy shearling and superior construction using premium sheepskin. Features include a cushioned EVA midsole, a durable rubber outsole with a grooved tread for added traction, and authentic rawhide laces. The shearling lamb fur is also dyed and treated for water resistance. Spot clean for best results. These slippers are sure to keep you cozy for seasons to come."
136,Mountain Ridge Hunting Cap,"The low-profile  hunting logo hat is the perfect way to show your passion for the sport. It features an embroidered ® hunting logo on the crown and soft washed-chino twill.

Size & Fit: One size fits all.

Fabric & Care: Chino twill cotton. Spot clean.

Additional Features: Embroidered  hunting logo, low-profile style, precurved bill, durable stitching on panel, adjustable cam-lock back strap, imported."
137,"Nikon NatureView Binoculars, 12 x 42 mm","These Nikon 12x42 binoculars provide superior viewing in the field with advanced prism-coated lenses and extra-low dispersion glass. Specs include magnification of 12x, objective lens diameter of 42mm, field of view of 262 ft. at 1,000 yd., eye relief of 15.1 mm, dimensions of 5.7""L x 5""W x 2.1""D and weight of 21.1 oz. The rubber-armored body offers shockproof protection and the lenses are waterproof, fogproof and scratch-resistant. Other features include Extra-Low Dispersion (ED) glass for enhanced contrast and resolution, a streamlined focus wheel for easy image adjustment, advanced dielectric prism coating for superior performance in low lighting, eyecups with multiple settings for correct eye-positioning, generous and comfortable eye relief and flip-down lens covers. A carrying case is included and the binoculars are imported."
138,Women's Double-Layer Thermal Underwear,"This unique two-layer women’s union suit features a Wool Plus outer layer and a soft, itch-free cotton liner for all-day warmth and comfort without any added bulk. The outer layer is a blend of 50% cotton, 40% merino wool, and 10% nylon and the inside layer is 100% cotton. The cuffs are composed of 48% cotton, 38% wool, 9% nylon and 5% spandex. For care, wash the red version separately and machine wash and dry the rest. Additional features include a cotton/merino wool/nylon blend for the best combination of flexibility and warmth, one-piece convenience, easy laundering, rib-knit cuffs reinforced with Lycra® elastane, nonchafing flatlock seams, and a one-button vertical closure in back. This item is imported."
139,Glimmerbeam Clip Light,"Being seen is essential to staying safe at night. This small light will clip onto just about anything for nighttime visibility—great for walking the dog, unlocking the car or camping. Constructed with a stainless-steel clip, this light is water resistant and clips securely onto zippers, dog collars, key chains and much more. It features both glow and flash modes and arrives in “Try Me” mode and will shut off automatically a few seconds after being turned on. To deactivate “Try Me” mode, press and hold power button until the light starts flashing quickly. Imported."
140,Ultra-Warm 850 Down Mittens,"This glove version of your favorite jacket takes inspiration from our 850 Down Jacket to create a technical glove perfect for lightweight warmth in colder conditions. Our revolutionary DownTek treated down stays dry longer and dries out faster, making it an even better insulator. The fabric and care includes a coated 850-fill DownTek™ premium goose down insulation that absorbs less moisture and dries faster, a durable water-resistant Pertex shell that blocks wind, stretch nylon fabric on fingers for a comfortable fit and a polyurethane palm and forefinger for added grip. It is machine washable and dryable. This glove also features 850 down quilted panels for extra warmth on those chilly days and a knit cuff that seals out cold air and a microfleece lining for additional warmth and comfort. This product is imported. If you have any additional questions, please contact us."
141,Family Bow and Arrow Set,"Enjoy backyard archery with our best-value family bow set that has everything you need to start hitting targets. Specs include: 

54"" Draw Weight: 20 lb. Draw Length: 24"". Draw: Right hand.

Draw Weight: 20 lb. Draw Length: 24"". Draw: Left hand.

62"" Draw Weight: 29 lb. Draw Length: 28"". Draw: Right hand.

Draw Weight: 29 lb. Draw Length: 28"". Draw: Left hand.

Draw Weight: 36 lb. Draw Length: 28"". Draw: Left hand.

Draw Weight: 36 lb. Draw Length: 28"". Draw: Right hand.

Why We Love It: This well-made set has everything you need to introduce your family to archery and enjoy it for years. It’s easy to choose the right bow: Determine which hand you will use to pull the bowstring. If with your right hand, you will need a right-handed bow. In general, children will be more comfortable with a 20 lb. draw weight, and most adults should go with a 29 to 36 lb. draw weight. Stronger adults should select the 36 lb. draw weight.

Construction:"
142,Outdoor Research Windproof Peruvian Hat,"This soft fleece windstopper hat is designed to keep your head warm without any additional weight or bulk. It is made with 100% WINDSTOPPER® polyester fleece and can be machine washed and dried. It offers protection from the cold, with little bulk or weight and features chin cord and cord-lock for extra security in windy conditions. This product is imported."
143,"obot

Microbot","This product is perfect for anyone looking for a quick solution to their needs. It can easily be customized and adjusted to fit your specific requirements. With our expert advice, you can find the perfect product for you in no time. 

This product is perfect for anyone looking for a quick solution to their needs. It can easily be customized and adjusted to fit your specific requirements. With our tailored guidance, you can find the perfect product for you in no time."
144,"Women's Featherlight 850 Down Jacket, Print","Our revolutionary 850 down jacket defies cold, wet weather – and comparison. We combined all the best outerwear technology – innovative DownTek fill, 850-fill-power and a Pertex Quantum polyester shell – for unbeatable performance. Light activity: to 30°  Moderate activity: to -20°. About comfort ratings, Size & Fit - Closer fit with a slightly slimmer waist. Slightly Fitted. Best with midweight layer. Falls at hip. 

The Technology - We start with premium 850 down, which provides more warmth for its weight, and then treat it with revolutionary DownTek that allows our jackets to do what many others can’t – keep you warm, even in wet conditions. Unlike ordinary down that soaks up moisture, ours absorbs 33% less moisture and dries 66% faster so it stays light, lofty and warm. On the outside, the game-changing Pertex Quantum nylon shell is tightly woven to resist the elements. Revolutionary DownTek treated down stays dry, long and dries out faster, making a great insulator even better. Watch the Video 

Fabric & Care - 850-fill-power goose down is one of the highest on the market, delivering more warmth for"
145,Men's Excursion Travel Brief,"These ExOfficio men's briefs are designed for performance and comfort in all situations—from travel to fishing to everyday wear. Crafted from a breathable, moisture-wicking blend of 94% nylon and 6% spandex, these briefs pack down small and won't take up a lot of space in your luggage. The nylon/spandex blend offers stretch and comfort, and they are treated with Aegis Microbe Shield to resist odor-causing bacteria. For best care, machine wash and line dry. Imported."
146,Signature Plaid Oxford Shirt,"Our soft, slim-fitting oxford cloth shirt, now in plaid, can be worn to work or on the weekend. Size & Fit - Slim Fit: Cut slim through the chest, sleeve and waist. Fabric & Care - 100% cotton, 6.5 oz. weight. Garment-washed for exceptional softness from day one. Machine wash and dry. Additional Features - Heavier cotton provides a traditional oxford outlook. Neatly tailored with a precise slim fit, wear it from work to weekend, tucked or untucked. Button-down collar. Single patch pocket. Box pleat at center back. Shirttail hem. Imported."
